DRG Definition,Provider Id,Provider Name,Provider City,Provider State, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,40088,MEDICAL CENTER SOUTH ARKANSAS,EL DORADO,AR,15,"$14,686.80 ","$5,530.00 ","$4,477.73 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,22,"$16,416.77 ","$5,038.45 ","$4,372.45 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,13,"$61,688.53 ","$8,065.38 ","$7,199.53 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,SAN DIEGO,CA,16,"$31,442.75 ","$10,488.87 ","$9,716.62 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50026,GROSSMONT HOSPITAL,LA MESA,CA,35,"$35,709.80 ","$6,548.88 ","$5,778.14 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50030,OROVILLE HOSPITAL,OROVILLE,CA,11,"$21,153.09 ","$6,728.36 ","$5,805.09 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50039,ENLOE MEDICAL CENTER,CHICO,CA,12,"$28,830.41 ","$6,164.91 ","$5,140.58 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50043,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,31,"$53,742.74 ","$9,778.87 ","$9,160.16 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,SAN FRANCISCO,CA,18,"$56,420.94 ","$11,423.61 ","$10,424.50 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50056,ANTELOPE VALLEY HOSPITAL MED CENTER,LANCASTER,CA,19,"$23,186.05 ","$7,844.63 ","$7,081.89 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50057,KAWEAH DELTA MEDICAL CENTER,VISALIA,CA,25,"$34,588.28 ","$7,680.44 ","$6,729.96 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50058,GLENDALE MEM HOSPITAL & HLTH CENTER,GLENDALE,CA,12,"$45,039.58 ","$8,951.91 ","$7,922.25 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50060,COMMUNITY REGIONAL MEDICAL CENTER,FRESNO,CA,25,"$33,403.12 ","$10,118.56 ","$6,961.68 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50077,SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,41,"$29,651.17 ","$8,133.31 ","$7,419.36 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50084,ST JOSEPHS MED CENTER OF STOCKTON,STOCKTON,CA,18,"$41,443.16 ","$7,917.38 ","$7,105.16 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50093,SAINT AGNES MEDICAL CENTER,FRESNO,CA,19,"$33,040.15 ","$7,000.47 ","$6,053.94 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50100,SHARP MEMORIAL HOSPITAL,SAN DIEGO,CA,24,"$97,439.50 ","$11,907.75 ","$11,273.62 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,12,"$50,999.91 ","$9,628.25 ","$8,015.16 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50108,SUTTER GENERAL HOSPITAL,SACRAMENTO,CA,16,"$37,542.81 ","$7,936.87 ","$6,518.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50111,TEMPLE COMMUNITY HOSPITAL,LOS ANGELES,CA,11,"$28,268.45 ","$8,602.00 ","$7,887.45 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,SANTA MONICA,CA,28,"$30,474.10 ","$7,286.82 ","$6,240.17 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,CA,11,"$49,796.81 ","$7,161.90 ","$6,441.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50121,ADVENTIST MEDICAL CENTER,HANFORD,CA,19,"$25,281.84 ","$7,168.89 ","$6,338.15 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,SAN JOSE,CA,16,"$68,020.62 ","$10,792.00 ","$9,876.25 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50133,RIDEOUT MEMORIAL HOSPITAL,MARYSVILLE,CA,15,"$33,826.86 ","$6,904.53 ","$6,011.73 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,13,"$34,389.38 ","$7,929.46 ","$5,773.46 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50169,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,WHITTIER,CA,14,"$64,429.50 ","$7,264.28 ","$6,462.57 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50174,SANTA ROSA MEMORIAL HOSPITAL,SANTA ROSA,CA,12,"$39,461.75 ","$7,697.66 ","$7,040.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50179,EMANUEL MEDICAL CENTER INC,TURLOCK,CA,14,"$51,793.50 ","$6,752.85 ","$6,112.85 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,WALNUT CREEK,CA,24,"$78,773.75 ","$8,477.91 ","$7,492.75 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50191,ST MARY MEDICAL CENTER,LONG BEACH,CA,11,"$30,237.36 ","$8,308.09 ","$7,484.81 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50204,PALMDALE REGIONAL MEDICAL CENTER,PALMDALE,CA,15,"$24,102.80 ","$6,984.06 ","$5,426.93 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50222,SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,CA,17,"$47,688.00 ","$7,356.76 ","$6,629.94 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,15,"$25,761.53 ","$5,764.86 ","$5,018.73 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,BURBANK,CA,11,"$47,832.81 ","$6,822.81 ","$5,676.72 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50238,METHODIST HOSPITAL OF SOUTHERN CA,ARCADIA,CA,27,"$40,122.59 ","$7,075.88 ","$6,173.48 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50239,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE,CA,19,"$49,641.00 ","$9,068.52 ","$8,244.52 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50243,DESERT REGIONAL MEDICAL CENTER,PALM SPRINGS,CA,18,"$59,222.11 ","$7,051.83 ","$6,176.72 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50261,SIERRA VIEW DISTRICT HOSPITAL,PORTERVILLE,CA,11,"$20,552.27 ","$7,617.63 ","$6,903.09 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50262,RONALD REAGAN UCLA MEDICAL CENTER,LOS ANGELES,CA,33,"$44,037.48 ","$12,915.57 ","$11,373.66 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50276,CONTRA COSTA REGIONAL MEDICAL CENTER,MARTINEZ,CA,23,"$35,616.60 ","$19,239.30 ","$18,363.08 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50300,ST MARY MEDICAL CENTER,APPLE VALLEY,CA,17,"$36,551.82 ","$7,059.00 ","$6,136.17 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,CA,14,"$47,130.00 ","$9,077.71 ","$8,440.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50308,EL CAMINO HOSPITAL,MOUNTAIN VIEW,CA,11,"$67,988.45 ","$7,510.00 ","$6,695.45 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,16,"$32,757.81 ","$6,692.87 ","$5,702.37 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,LA JOLLA,CA,14,"$31,504.42 ","$7,565.85 ","$4,218.14 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,LOMA LINDA,CA,13,"$25,208.84 ","$9,939.84 ","$9,161.07 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50334,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,17,"$30,182.11 ","$8,171.11 ","$7,176.05 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50336,LODI MEMORIAL HOSPITAL,LODI,CA,13,"$85,551.61 ","$6,946.46 ","$5,991.07 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50342,PIONEERS MEMORIAL HEALTHCARE DISTRICT,BRAWLEY,CA,12,"$23,502.00 ","$7,361.83 ","$6,617.83 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50348,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,ORANGE,CA,15,"$78,925.33 ","$13,240.26 ","$12,380.93 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50351,TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,CA,11,"$47,460.54 ","$7,510.36 ","$4,259.45 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,TORRANCE,CA,12,"$69,040.33 ","$8,297.16 ","$7,124.33 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50360,MARIN GENERAL HOSPITAL,GREENBRAE,CA,12,"$45,402.83 ","$7,831.33 ","$6,796.33 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50376,LAC/HARBOR-UCLA MED CENTER,TORRANCE,CA,13,"$42,594.69 ","$15,070.23 ","$14,381.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50380,GOOD SAMARITAN HOSPITAL,SAN JOSE,CA,16,"$70,039.18 ","$7,429.50 ","$6,726.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,COVINA,CA,22,"$23,641.72 ","$8,261.63 ","$7,391.27 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50396,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,CA,18,"$25,975.16 ","$7,028.11 ","$5,953.94 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50438,HUNTINGTON MEMORIAL HOSPITAL,PASADENA,CA,38,"$39,548.02 ","$7,071.65 ","$6,360.92 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50441,STANFORD HOSPITAL,STANFORD,CA,16,"$148,128.43 ","$25,519.43 ","$22,553.56 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50444,MERCY MEDICAL CENTER,MERCED,CA,11,"$53,105.36 ","$8,552.90 ","$7,732.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50454,UCSF MEDICAL CENTER,SAN FRANCISCO,CA,15,"$48,627.73 ","$12,035.13 ","$11,211.40 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50455,SAN JOAQUIN COMMUNITY HOSPITAL,BAKERSFIELD,CA,27,"$32,546.59 ","$7,024.55 ","$6,152.40 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50481,WEST HILLS HOSPITAL & MEDICAL CENTER,WEST HILLS,CA,11,"$50,830.72 ","$6,221.27 ","$5,406.72 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50485,LONG BEACH MEMORIAL MEDICAL CENTER,LONG BEACH,CA,27,"$34,735.37 ","$7,540.74 ","$6,830.37 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,26,"$33,223.11 ","$7,901.15 ","$7,255.46 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,CA,11,"$85,618.27 ","$7,522.00 ","$6,804.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50502,SAINT VINCENT MEDICAL CENTER,LOS ANGELES,CA,12,"$39,118.58 ","$9,619.83 ","$8,687.16 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50516,MERCY SAN JUAN MEDICAL CENTER,CARMICHAEL,CA,12,"$51,080.50 ","$7,772.16 ","$7,020.16 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50523,SUTTER DELTA MEDICAL CENTER,ANTIOCH,CA,11,"$45,380.00 ","$8,296.36 ","$7,273.09 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,THOUSAND OAKS,CA,28,"$52,172.17 ","$7,251.85 ","$6,449.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50557,MEMORIAL  MEDICAL CENTER,MODESTO,CA,23,"$45,675.08 ","$6,140.82 ","$5,409.52 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,22,"$35,669.50 ","$5,781.86 ","$5,015.86 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,FOUNTAIN VALLEY,CA,19,"$37,289.05 ","$8,282.94 ","$7,515.15 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50573,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,36,"$49,470.33 ","$6,227.50 ","$4,667.72 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,SACRAMENTO,CA,22,"$91,198.40 ","$12,360.90 ","$11,490.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50625,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,81,"$59,486.80 ","$8,778.70 ","$7,420.71 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50701,SOUTHWEST HEALTHCARE SYSTEM,MURRIETA,CA,25,"$22,742.32 ","$6,477.64 ","$5,807.40 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50752,BROTMAN MEDICAL CENTER,CULVER CITY,CA,13,"$36,151.76 ","$6,970.07 ","$6,280.84 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,50761,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,13,"$46,465.84 ","$6,338.84 ","$5,555.15 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60001,NORTH COLORADO MEDICAL CENTER,GREELEY,CO,19,"$25,911.78 ","$6,716.68 ","$5,768.47 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60003,LONGMONT UNITED HOSPITAL,LONGMONT,CO,11,"$30,755.72 ","$5,808.00 ","$4,790.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60009,EXEMPLA LUTHERAN MEDICAL CENTER,WHEAT RIDGE,CO,16,"$24,186.75 ","$5,307.93 ","$4,396.18 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60010,POUDRE VALLEY HOSPITAL,FORT COLLINS,CO,14,"$16,410.71 ","$5,439.71 ","$4,716.57 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,PUEBLO,CO,12,"$24,896.08 ","$5,789.75 ","$4,946.08 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60022,MEMORIAL HOSPITAL CENTRAL,COLORADO SPRING,CO,29,"$20,740.75 ","$5,463.86 ","$4,650.75 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60023,ST MARYS HOSPITAL AND MEDICAL CENTER,GRAND JUNCTION,CO,14,"$17,074.50 ","$6,385.78 ","$5,662.64 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,AURORA,CO,27,"$25,798.29 ","$9,076.07 ","$8,324.96 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,COLORADO SPRING,CO,36,"$23,742.75 ","$5,142.88 ","$4,174.33 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60034,SWEDISH MEDICAL CENTER,ENGLEWOOD,CO,19,"$35,194.05 ","$5,730.15 ","$4,778.57 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,DENVER,CO,12,"$29,375.75 ","$5,898.75 ","$5,055.08 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60100,"MEDICAL CENTER OF AURORA, THE",AURORA,CO,12,"$38,774.75 ","$7,170.08 ","$3,895.25 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,LITTLETON,CO,20,"$24,455.40 ","$5,256.45 ","$4,357.25 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,60114,PARKER ADVENTIST HOSPITAL,PARKER,CO,13,"$27,422.30 ","$5,426.00 ","$4,557.69 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70001,HOSPITAL OF ST RAPHAEL,NEW HAVEN,CT,25,"$29,235.76 ","$8,297.64 ","$7,446.28 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,49,"$18,370.38 ","$7,548.71 ","$6,540.71 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70006,STAMFORD HOSPITAL,STAMFORD,CT,13,"$35,920.84 ","$7,071.00 ","$6,035.92 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,33,"$16,630.15 ","$6,663.90 ","$5,305.78 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70010,BRIDGEPORT HOSPITAL,BRIDGEPORT,CT,11,"$32,121.81 ","$10,204.72 ","$7,780.63 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70016,SAINT MARYS HOSPITAL,WATERBURY,CT,12,"$11,702.41 ","$7,352.50 ","$6,508.83 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70018,GREENWICH HOSPITAL ASSOCIATION,GREENWICH,CT,21,"$21,943.66 ","$6,559.00 ","$5,648.71 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70022,YALE-NEW HAVEN HOSPITAL,NEW HAVEN,CT,51,"$44,167.11 ","$11,173.64 ","$9,803.58 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,11,"$21,115.09 ","$6,233.18 ","$5,315.72 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70025,HARTFORD HOSPITAL,HARTFORD,CT,14,"$23,791.00 ","$8,292.28 ","$7,248.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,31,"$20,088.32 ","$7,705.54 ","$6,799.83 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70031,GRIFFIN HOSPITAL,DERBY,CT,11,"$21,582.63 ","$7,152.09 ","$6,380.27 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70033,DANBURY HOSPITAL,DANBURY,CT,50,"$17,292.12 ","$6,980.04 ","$6,146.20 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,30,"$31,530.66 ","$7,939.16 ","$6,095.40 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,22,"$17,218.40 ","$6,825.77 ","$5,936.22 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,13,"$25,056.61 ","$10,391.07 ","$9,484.76 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",NEWARK,DE,81,"$19,023.86 ","$7,939.08 ","$6,637.71 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,DOVER,DE,33,"$15,919.36 ","$5,859.54 ","$5,043.78 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,90001,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,DC,25,"$37,544.56 ","$9,888.52 ","$7,601.96 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,90004,GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,DC,20,"$36,903.25 ","$10,076.00 ","$8,493.85 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,90006,PROVIDENCE HOSPITAL,WASHINGTON,DC,19,"$14,635.68 ","$7,506.52 ","$6,403.21 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,90011,WASHINGTON HOSPITAL CENTER,WASHINGTON,DC,45,"$25,516.91 ","$8,154.20 ","$7,104.02 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100001,SHANDS JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,FL,38,"$25,543.07 ","$8,183.39 ","$7,413.92 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100002,BETHESDA MEMORIAL HOSPITAL,BOYNTON BEACH,FL,20,"$41,973.90 ","$6,039.15 ","$5,251.55 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100006,ORLANDO HEALTH,ORLANDO,FL,73,"$27,545.01 ","$6,355.53 ","$5,265.76 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100007,FLORIDA HOSPITAL,ORLANDO,FL,224,"$26,941.47 ","$6,077.88 ","$5,134.23 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100008,BAPTIST HOSPITAL OF MIAMI INC,MIAMI,FL,25,"$33,338.36 ","$6,657.88 ","$5,768.72 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100009,UNIVERSITY OF MIAMI HOSPITAL,MIAMI,FL,17,"$49,960.41 ","$7,098.76 ","$6,235.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100012,LEE MEMORIAL HOSPITAL,FORT MYERS,FL,55,"$19,154.12 ","$5,479.16 ","$4,724.61 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100017,HALIFAX HEALTH MEDICAL CENTER,DAYTONA BEACH,FL,26,"$19,845.30 ","$5,560.34 ","$4,782.80 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100018,NAPLES COMMUNITY HOSPITAL,NAPLES,FL,77,"$20,514.25 ","$5,310.57 ","$4,477.58 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100019,HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,FL,37,"$29,571.37 ","$5,125.27 ","$4,320.13 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100022,JACKSON MEMORIAL HOSPITAL,MIAMI,FL,29,"$29,125.75 ","$12,789.27 ","$11,467.62 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100023,CITRUS MEMORIAL HOSPITAL,INVERNESS,FL,20,"$17,982.75 ","$4,915.00 ","$3,915.40 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100025,SACRED HEART HOSPITAL,PENSACOLA,FL,33,"$15,899.48 ","$6,000.09 ","$4,406.81 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100026,BAY MEDICAL CENTER,PANAMA CITY,FL,20,"$16,213.95 ","$5,240.85 ","$4,223.65 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100029,NORTH SHORE MEDICAL CENTER,MIAMI,FL,25,"$27,145.12 ","$6,668.88 ","$5,902.96 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100030,HEALTH CENTRAL,OCOEE,FL,19,"$21,912.42 ","$5,665.47 ","$4,927.47 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100032,BAYFRONT MEDICAL CENTER INC,SAINT PETERSBUR,FL,12,"$26,618.16 ","$6,406.66 ","$5,463.33 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,100034,MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,21,"$30,027.23 ","$7,292.76 ","$6,439.42 "
