"DRGDefinition","ProviderId","ProviderName","ProviderCity","ProviderState","TotalDischarges","AverageCoveredCharges","AverageTotalPayments","AverageMedicarePayments"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210043","BALTIMORE WASHINGTON  MEDICAL CENTER","GLEN BURNIE","MD","32","7409.87","6965.31","6122.31"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210044","GREATER BALTIMORE MEDICAL CENTER","BALTIMORE","MD","50","8673.50","8175.66","7245.36"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210048","HOWARD COUNTY GENERAL HOSPITAL","COLUMBIA","MD","29","7903.03","7428.89","6612.48"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210049","UPPER CHESAPEAKE MEDICAL CENTER","BEL AIR","MD","27","8965.74","8554.77","7220.37"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210051","DOCTORS  COMMUNITY HOSPITAL","LANHAM","MD","17","9345.52","8862.52","7763.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210054","SOUTHERN MARYLAND HOSPITAL CENTER","CLINTON","MD","43","7071.11","6681.18","5558.25"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210056","GOOD SAMARITAN HOSPITAL","BALTIMORE","MD","33","8184.33","7734.96","6916.63"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210057","SHADY GROVE ADVENTIST HOSPITAL","ROCKVILLE","MD","20","8692.25","8170.70","7379.90"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","210061","ATLANTIC GENERAL HOSPITAL","BERLIN","MD","18","7242.77","6808.05","5751.38"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220002","MOUNT AUBURN HOSPITAL","CAMBRIDGE","MA","34","11241.17","7173.00","6051.29"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220010","LAWRENCE GENERAL HOSPITAL","LAWRENCE","MA","20","12548.95","7281.70","6144.85"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220011","CAMBRIDGE HEALTH ALLIANCE","CAMBRIDGE","MA","14","9013.64","9032.07","8151.78"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220012","CAPE COD HOSPITAL","HYANNIS","MA","33","9683.54","7616.78","6665.03"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220017","CARNEY HOSPITAL","BOSTON","MA","22","9897.09","8530.09","7821.36"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220020","SAINT ANNES HOSPITAL","FALL RIVER","MA","11","14204.45","6564.54","6049.27"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220024","HOLYOKE MEDICAL CENTER","HOLYOKE","MA","13","17210.30","7130.69","6359.30"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220029","ANNA JAQUES HOSPITAL","NEWBURYPORT","MA","16","8700.18","5549.12","4813.25"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220030","WING MEMORIAL HOSPITAL AND MEDICAL CENTER","PALMER","MA","11","11147.63","5312.27","4289.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220031","BOSTON MEDICAL CENTER CORPORATION","BOSTON","MA","46","11849.67","10913.54","9881.91"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220033","BEVERLY HOSPITAL CORPORATION","BEVERLY","MA","23","9515.56","6147.82","5225.21"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220035","NORTH SHORE MEDICAL CENTER","SALEM","MA","25","22183.80","6668.32","5725.12"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220036","ST ELIZABETHS MEDICAL CENTER","BRIGHTON","MA","25","25287.64","11856.40","11093.08"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220046","BERKSHIRE MEDICAL CENTER INC","PITTSFIELD","MA","22","11164.95","7353.09","6431.27"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","BROCKTON","MA","15","10954.93","7461.93","6418.20"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220060","JORDAN HOSPITAL INC","PLYMOUTH","MA","18","9465.83","6053.50","5174.83"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220063","LOWELL GENERAL HOSPITAL","LOWELL","MA","16","14288.37","6805.50","5891.75"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220066","MERCY MEDICAL CENTER","SPRINGFIELD","MA","15","13552.06","6563.46","5662.13"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220070","HALLMARK HEALTH SYSTEM","MELROSE","MA","22","7659.54","6116.72","4688.63"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220071","MASSACHUSETTS GENERAL HOSPITAL","BOSTON","MA","87","40451.47","9541.49","8696.90"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220073","MORTON HOSPITAL","TAUNTON","MA","14","6077.71","5850.00","5048.28"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220074","SOUTHCOAST HOSPITAL GROUP, INC","FALL RIVER","MA","71","14418.32","6456.61","5312.11"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220077","BAYSTATE MEDICAL CENTER","SPRINGFIELD","MA","30","16456.00","7602.10","6891.56"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220080","HOLY FAMILY HOSPITAL","METHUEN","MA","12","9303.75","6242.00","5403.66"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220082","SAINTS  MEDICAL CENTER INC","LOWELL","MA","12","7023.83","6358.41","5520.08"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220086","BETH ISRAEL DEACONESS MEDICAL CENTER","BOSTON","MA","47","17841.53","9160.95","8397.76"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220090","MILFORD REGIONAL MEDICAL CENTER","MILFORD","MA","32","9547.12","6084.25","5432.81"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220100","SOUTH SHORE HOSPITAL","SOUTH WEYMOUTH","MA","32","11233.68","5229.65","4387.65"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220101","NEWTON-WELLESLEY HOSPITAL","NEWTON","MA","28","19455.64","5917.35","5153.78"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220105","WINCHESTER HOSPITAL","WINCHESTER","MA","16","5617.93","5483.00","4744.12"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220110","BRIGHAM AND WOMENS HOSPITAL","BOSTON","MA","37","43563.24","9667.59","8309.32"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220111","GOOD SAMARITAN MEDICAL CENTER","BROCKTON","MA","18","10829.88","7110.38","6614.38"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220116","TUFTS MEDICAL CENTER","BOSTON","MA","14","12498.71","9417.50","8533.92"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220119","FAULKNER HOSPITAL","BOSTON","MA","11","19259.18","7359.45","6644.90"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220126","NORWOOD HOSPITAL","NORWOOD","MA","36","7828.13","5575.41","4684.58"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220163","UMASS MEMORIAL MEDICAL CENTER INC","WORCESTER","MA","55","20895.89","9509.05","7508.92"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220171","LAHEY CLINIC HOSPITAL","BURLINGTON","MA","71","11367.74","7317.04","6357.92"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220175","METROWEST MEDICAL CENTER","FRAMINGHAM","MA","27","10387.77","6504.81","5590.74"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","220176","ST VINCENT HOSPITAL","WORCESTER","MA","14","13069.28","9515.78","5801.78"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230002","ST MARY MERCY HOSPITAL","LIVONIA","MI","28","11901.82","5529.17","4325.82"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230017","BRONSON METHODIST HOSPITAL","KALAMAZOO","MI","18","20133.66","6787.38","5791.83"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230019","PROVIDENCE HOSPITAL AND MEDICAL CENTERS","SOUTHFIELD","MI","28","16185.60","6918.53","6075.25"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230020","OAKWOOD HOSPITAL AND MEDICAL CENTER","DEARBORN","MI","49","16753.91","6694.59","5960.48"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230021","LAKELAND HOSPITAL, ST JOSEPH","ST JOSEPH","MI","23","9673.78","5821.26","4599.13"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230024","SINAI-GRACE HOSPITAL","DETROIT","MI","22","14041.63","8260.90","7392.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230029","ST JOSEPH MERCY OAKLAND","PONTIAC","MI","23","13317.34","7161.52","6230.56"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","GRAND RAPIDS","MI","39","12262.89","6761.79","5777.71"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230041","MCLAREN BAY REGION","BAY CITY","MI","29","12498.65","5356.17","4423.75"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230046","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","ANN ARBOR","MI","39","25595.66","11837.58","7741.84"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230047","HENRY FORD MACOMB HOSPITAL","CLINTON TOWNSHI","MI","52","10859.34","5630.84","4941.61"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230053","HENRY FORD HOSPITAL","DETROIT","MI","48","16616.08","8552.45","7733.70"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230055","DICKINSON COUNTY MEMORIAL HOSPITAL","IRON MOUNTAIN","MI","17","10957.88","5417.70","4361.70"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230059","SAINT MARYS HEALTH CARE","GRAND RAPIDS","MI","17","17401.64","7005.88","6280.94"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230066","MERCY HEALTH PARTNERS, HACKLEY CAMPUS","MUSKEGON","MI","15","11496.40","6146.86","5251.93"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230070","COVENANT MEDICAL CENTER, INC","SAGINAW","MI","22","15068.81","5898.36","4928.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230075","BRONSON BATTLE CREEK HOSPITAL","BATTLE CREEK","MI","15","11355.00","5818.40","4581.26"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230077","ST MARYS OF MICHIGAN MEDICAL CENTER","SAGINAW","MI","28","19013.39","5628.78","4738.67"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230081","MERCY HOSPITAL - CADILLAC","CADILLAC","MI","14","10359.35","5316.92","4351.21"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230089","BEAUMONT HOSPITAL, GROSSE POINTE","GROSSE POINTE","MI","21","13145.04","5524.19","4777.14"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230092","ALLEGIANCE HEALTH","JACKSON","MI","27","16315.03","5298.66","4321.70"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230097","MUNSON MEDICAL CENTER","TRAVERSE CITY","MI","32","16567.56","6343.18","5473.50"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230099","MERCY MEMORIAL HOSPITAL SYSTEM","MONROE","MI","16","9765.62","5453.18","4537.43"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230104","HARPER UNIVERSITY HOSPITAL","DETROIT","MI","16","23163.43","11009.75","8881.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230105","NORTHERN MICHIGAN REGIONAL HOSPITAL","PETOSKEY","MI","14","9766.14","5954.07","5073.78"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230117","BORGESS MEDICAL CENTER","KALAMAZOO","MI","13","17652.07","6021.15","5165.15"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230130","WILLIAM BEAUMONT HOSPITAL","ROYAL OAK","MI","100","18647.05","7146.53","5748.51"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230141","MCLAREN FLINT","FLINT","MI","41","13212.36","6658.97","5625.31"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230142","OAKWOOD ANNAPOLIS HOSPITAL","WAYNE","MI","14","13278.35","5737.21","5018.64"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230146","HENRY FORD WYANDOTTE HOSPITAL","WYANDOTTE","MI","23","13680.69","5824.26","4562.39"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230151","BOTSFORD HOSPITAL","FARMINGTON HILL","MI","51","9357.62","7260.05","6088.45"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230156","ST JOSEPH MERCY HOSPITAL","ANN ARBOR","MI","30","11562.86","5829.23","4932.16"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230165","ST JOHN HOSPITAL AND MEDICAL CENTER","DETROIT","MI","31","19785.25","7271.25","6617.06"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230167","MCLAREN - GREATER LANSING","LANSING","MI","15","17488.86","6158.73","5106.46"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230176","OAKWOOD SOUTHSHORE MEDICAL CENTER","TRENTON","MI","19","17345.36","7885.63","4726.26"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230195","ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER","WARREN","MI","71","14459.28","6146.14","5341.57"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230197","GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK","GRAND BLANC","MI","24","14878.62","6985.29","6142.95"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230216","PORT HURON HOSPITAL","PORT HURON","MI","20","17036.50","5422.50","4636.50"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230227","MOUNT CLEMENS REGIONAL MEDICAL CENTER","MOUNT CLEMENS","MI","19","11030.15","5896.68","5365.52"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230230","EDWARD W SPARROW HOSPITAL","LANSING","MI","20","24040.70","7027.90","6048.60"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230244","GARDEN CITY HOSPITAL","GARDEN CITY","MI","13","15801.84","7657.00","4935.61"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230254","CRITTENTON HOSPITAL MEDICAL CENTER","ROCHESTER","MI","23","14502.47","5629.04","4848.52"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230269","WILLIAM BEAUMONT HOSPITAL-TROY","TROY","MI","25","18908.72","5553.84","4972.88"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230273","DETROIT RECEIVING HOSPITAL  and  UNIV HEALTH CENTER","DETROIT","MI","23","18316.91","8474.00","7592.26"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","230302","HENRY FORD WEST BLOOMFIELD HOSPITAL","W BLOOMFIELD","MI","15","16187.73","4882.80","3906.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240001","NORTH MEMORIAL MEDICAL CENTER","ROBBINSDALE","MN","41","17589.82","5967.53","5336.41"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240002","ESSENTIA HEALTH ST MARYS MEDICAL CENTER","DULUTH","MN","17","18891.82","6201.29","5282.23"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240004","HENNEPIN COUNTY MEDICAL CENTER","MINNEAPOLIS","MN","13","15486.30","10576.92","9718.46"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240010","MAYO CLINIC - SAINT MARYS HOSPITAL","ROCHESTER","MN","58","17363.77","7323.53","6586.84"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240036","ST CLOUD HOSPITAL","SAINT CLOUD","MN","36","24035.33","7631.83","6880.72"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240038","UNITED HOSPITAL","SAINT PAUL","MN","41","24342.31","6713.00","5249.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240047","ST LUKES HOSPITAL","DULUTH","MN","17","11129.29","6151.58","5422.88"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240053","PARK NICOLLET METHODIST HOSPITAL","SAINT LOUIS PAR","MN","27","8519.11","5546.18","4755.51"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240057","ABBOTT NORTHWESTERN HOSPITAL","MINNEAPOLIS","MN","46","28584.84","6814.73","5199.93"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240063","ST JOSEPHS HOSPITAL","SAINT PAUL","MN","26","16888.50","5873.65","4366.11"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240075","ESSENTIA HEALTH ST JOSEPHS MEDICAL CENTER","BRAINERD","MN","15","13297.26","5812.13","4839.60"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240078","FAIRVIEW SOUTHDALE HOSPITAL","EDINA","MN","15","30688.86","6310.06","5106.86"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","MINNEAPOLIS","MN","23","52209.21","12328.47","11200.60"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240093","MAYO CLINIC HEALTH SYSTEM - MANKATO","MANKATO","MN","19","12706.36","6359.26","5109.73"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240106","REGIONS HOSPITAL","SAINT PAUL","MN","18","28631.72","8157.50","7065.55"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240115","MERCY HOSPITAL","COON RAPIDS","MN","30","17442.00","5600.93","4608.33"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240132","UNITY HOSPITAL","FRIDLEY","MN","24","20053.54","5153.75","4404.41"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","240210","HEALTHEAST ST JOHNS HOSPITAL","MAPLEWOOD","MN","25","19232.24","5844.44","5126.36"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250001","UNIVERSITY OF MISSISSIPPI MED CENTER","JACKSON","MS","37","19944.24","7889.86","6562.13"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250004","NORTH MISSISSIPPI MEDICAL CENTER","TUPELO","MS","44","18147.27","6204.38","4879.13"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250006","BAPTIST MEMORIAL HOSPITAL UNION COUNTY","NEW ALBANY","MS","12","10633.66","5163.66","4317.33"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250031","RIVER REGION HEALTH SYSTEM","VICKSBURG","MS","15","22420.06","5702.20","5025.13"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250040","SINGING RIVER HOSPITAL","PASCAGOULA","MS","25","30238.08","6351.88","4039.16"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250042","NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER","CLARKSDALE","MS","21","19682.90","6676.04","5981.38"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250048","ST DOMINIC-JACKSON MEMORIAL HOSPITAL","JACKSON","MS","74","17287.60","5530.81","4117.67"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250072","CENTRAL MISSISSIPPI MEDICAL CENTER","JACKSON","MS","12","34879.58","5774.00","4930.33"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250078","FORREST GENERAL HOSPITAL","HATTIESBURG","MS","17","15454.82","5383.70","3826.23"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250096","CROSSGATES RIVER OAKS HOSPITAL","BRANDON","MS","21","23008.90","4592.90","3691.33"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250099","GREENWOOD LEFLORE HOSPITAL","GREENWOOD","MS","13","15010.07","5593.30","4940.23"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250102","MISSISSIPPI BAPTIST MEDICAL CENTER","JACKSON","MS","16","21160.56","5319.43","3742.12"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250104","ANDERSON REGIONAL MEDICAL CENTER","MERIDIAN","MS","14","14662.92","5124.21","4165.35"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","250141","BAPTIST MEMORIAL HOSPITAL DESOTO","SOUTHAVEN","MS","11","16098.90","5807.90","4342.45"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260001","ST JOHNS REGIONAL MEDICAL CENTER","JOPLIN","MO","13","16028.38","5110.84","4421.61"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260006","HEARTLAND REGIONAL MEDICAL CENTER","SAINT JOSEPH","MO","22","15481.13","6676.36","5857.45"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260009","BOTHWELL REGIONAL HEALTH CENTER","SEDALIA","MO","16","12106.37","4942.00","4171.75"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260011","ST MARYS HEALTH CENTER","JEFFERSON CITY","MO","16","15335.62","4756.31","3980.06"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260017","PHELPS COUNTY REGIONAL MEDICAL CENTER","ROLLA","MO","13","19230.38","6952.53","5500.30"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260020","MERCY HOSPITAL ST LOUIS","SAINT LOUIS","MO","30","18834.70","5360.40","4684.40"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260023","JEFFERSON REGIONAL MEDICAL CENTER","CRYSTAL CITY","MO","13","9893.84","4926.61","3968.76"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260032","BARNES JEWISH HOSPITAL","SAINT LOUIS","MO","78","19301.50","7556.92","5545.28"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260040","COX MEDICAL CENTER","SPRINGFIELD","MO","20","14975.55","5363.30","4474.35"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260065","ST JOHNS REGIONAL HEALTH CENTER","SPRINGFIELD","MO","24","18265.41","5292.54","4257.54"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260068","BOONE HOSPITAL CENTER","COLUMBIA","MO","30","12625.63","4621.00","3571.93"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260077","ST ANTHONYS MEDICAL CENTER","SAINT LOUIS","MO","30","11153.53","4664.23","3997.83"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260085","ST JOSEPH MEDICAL CENTER","KANSAS CITY","MO","13","17485.07","4532.69","3669.30"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260091","SSM ST MARYS HEALTH CENTER","RICHMOND HEIGHT","MO","30","19073.56","7101.90","6429.10"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260096","NORTH KANSAS CITY HOSPITAL","NORTH KANSAS CI","MO","25","18767.40","4845.88","4125.24"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260104","SSM DEPAUL HEALTH CENTER","BRIDGETON","MO","43","19968.72","5585.39","4854.97"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260105","ST LOUIS UNIVERSITY HOSPITAL","SAINT LOUIS","MO","26","23641.19","8420.53","7415.65"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260108","MISSOURI BAPTIST MEDICAL CENTER","TOWN AND COUNTR","MO","31","13138.54","5957.38","3822.80"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260119","POPLAR BLUFF REGIONAL MEDICAL CENTER","POPLAR BLUFF","MO","21","18485.52","5800.85","4785.80"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260138","ST LUKES HOSPITAL OF KANSAS CITY","KANSAS CITY","MO","28","32853.89","6453.14","5206.64"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260141","UNIVERSITY OF MISSOURI HEALTH CARE","COLUMBIA","MO","14","25684.92","6826.35","6105.50"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260177","LIBERTY HOSPITAL","LIBERTY","MO","28","14165.96","5036.71","4354.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260179","ST LUKES HOSPITAL","CHESTERFIELD","MO","28","14597.28","5149.28","4464.28"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260180","CHRISTIAN HOSPITAL NORTHEAST","SAINT LOUIS","MO","23","19410.91","5272.43","4226.04"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260183","ST FRANCIS MEDICAL CENTER","CAPE GIRARDEAU","MO","17","25342.41","5261.58","4466.29"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260186","LAKE REGIONAL HEALTH SYSTEM","OSAGE BEACH","MO","13","23741.23","6389.00","5349.00"
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC","260210","ST ALEXIUS HOSPITAL","SAINT LOUIS","MO","15","21730.40","5583.80","4349.26"
